Mesh,Method,MSE_X,MSE_Y,MSE_Z,MSE_Overall,MAE_X,MAE_Y,MAE_Z,MAE_Overall
branch.obj,Min-Max,2.2952482772980713e-07,2.735518028207892e-07,6.841934203743206e-08,1.9049865752934312e-07,0.0004164911541237477,0.0004484713699123251,0.00022520790485264434,0.0003633901429629063
branch.obj,Unit Sphere,5.483945904053318e-07,5.812802347604911e-07,6.106270320623638e-07,5.801006190760605e-07,0.0006347905685766834,0.0006610201645144594,0.0006794601401995452,0.0006584236244302265
cylinder.obj,Min-Max,2.3046835669708913e-07,0.0,2.3046835669708913e-07,1.5364557113139281e-07,0.00042309567448678073,0.0,0.00042309567448678073,0.00028206378299118717
cylinder.obj,Unit Sphere,6.111085306677289e-07,2.618039802847908e-07,6.111085306677343e-07,4.946736805400852e-07,0.0006899381781877511,0.0005116678417536047,0.0006899381781877529,0.0006305147327097028
explosive.obj,Min-Max,1.1523186924572368e-08,7.83242649457949e-08,1.2899729281236565e-08,3.424906038386778e-08,9.10933094307446e-05,0.00024021001496171327,0.00010028789199757048,0.00014386373879667514
explosive.obj,Unit Sphere,1.0094339938073014e-07,1.1339953544121237e-07,8.849495873336087e-08,1.0094596451843488e-07,0.00027198793050010406,0.00030026044517550193,0.00025938707570225303,0.00027721181712595287
fence.obj,Min-Max,7.561935129151291e-08,5.310643272727689e-08,8.53662299794119e-11,4.293705008292287e-08,0.0002334918510292682,0.00020224163000977786,3.881317923063797e-06,0.00014653826632070313
fence.obj,Unit Sphere,1.4633963085578182e-07,2.897960303343715e-07,1.3158578851660097e-07,1.8924048323558368e-07,0.00035034986682546505,0.0005183690379898973,0.00032882097044849024,0.00039917995842128395
girl.obj,Min-Max,9.026959942300676e-08,6.548930150698759e-08,1.0481167569194744e-08,5.541335616639655e-08,0.00026105612770121106,0.00022207079328982561,8.851013696095568e-05,0.0001905456859839966
girl.obj,Unit Sphere,9.903511758909962e-08,9.496824267166024e-08,9.187268622251417e-08,9.529201549442447e-08,0.00027337940618011214,0.0002693959485198588,0.00026378487948479557,0.00026885341139492284
person.obj,Min-Max,2.2205768397707871e-07,2.636515226424283e-07,1.320452389409929e-08,1.6630457683786784e-07,0.00040350324300671646,0.000430150057538973,9.822103227444444e-05,0.0003106247776067127
person.obj,Unit Sphere,4.4443481728358295e-07,4.4436700453903365e-07,4.1828221301550646e-07,4.356946782793684e-07,0.0005638122721713994,0.0005769342283570328,0.0005615744939131545,0.0005674403314805331
table.obj,Min-Max,1.196712839388141e-08,2.996752745149526e-08,1.0385104079883167e-07,4.859523221473616e-08,8.708061566188833e-05,0.0001490498341201873,0.00028436286813704394,0.00017349777263970677
table.obj,Unit Sphere,1.3116343587752577e-07,1.2602605036428678e-07,1.1653074049876913e-07,1.2457340891352737e-07,0.0003178796430431267,0.00031294079751583174,0.00029799075707089283,0.00030960373254328556
talwar.obj,Min-Max,2.7214689330741554e-10,7.224998718716638e-08,4.06578015623636e-09,2.5529304745569905e-08,1.3662302416131917e-05,0.00022987933817169247,5.5523039632809475e-05,9.968822674021082e-05
talwar.obj,Unit Sphere,1.536398481300063e-07,1.44915446481708e-07,1.5262034557791007e-07,1.5039188006320854e-07,0.00033585234507807797,0.0003223799649554819,0.00034165347261529155,0.00033329526088294925
